,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
90,0.584,0.589,5,-11.203,1,0.0718,0.463,1.53e-05,0.069,0.842,172.484,154296,4
91,0.697,0.252,2,-8.927,1,0.0431,0.906,0.0,0.281,0.811,132.916,169600,4
92,0.558,0.223,10,-12.362,1,0.0299,0.868,0.000972,0.13,0.303,101.711,161547,3
93,0.643,0.491,4,-9.312,1,0.0344,0.642,0.00972,0.286,0.753,126.399,194600,4
94,0.813,0.427,2,-11.543,1,0.0921,0.554,0.0,0.0248,0.964,123.112,143733,4
95,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,243027,4
96,0.492,0.466,7,-6.766,1,0.0381,0.821,0.0,0.164,0.627,105.319,272987,4
97,0.728,0.734,11,-3.234,1,0.0318,0.63,3.56e-05,0.137,0.965,135.078,135467,4
98,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273,145533,4
99,0.615,0.624,2,-6.43,1,0.0287,0.463,0.0,0.359,0.929,144.938,177893,4
100,0.493,0.603,4,-9.824,1,0.0411,0.152,9.23e-05,0.147,0.657,139.13,147924,4
101,0.333,0.736,11,-14.198,1,0.0656,0.636,0.00161,0.15,0.796,151.166,138200,4
102,0.766,0.579,9,-9.722,1,0.0385,0.179,1.25e-05,0.264,0.755,125.206,141960,4
103,0.483,0.788,2,-0.062,1,0.0386,0.714,0.0,0.155,0.216,102.363,175360,3
104,0.675,0.366,10,-12.542,1,0.0309,0.419,0.0,0.0583,0.964,131.666,144800,4
105,0.488,0.648,5,-13.252,1,0.0305,0.852,0.914,0.13,0.949,156.35,122933,4
106,0.55,0.382,0,-6.429,1,0.0263,0.312,1.11e-05,0.221,0.464,136.128,160693,4
107,0.371,0.4,7,-5.198,1,0.0295,0.848,0.0,0.186,0.355,86.989,143653,4
108,0.355,0.0922,7,-17.747,1,0.0515,0.918,0.000702,0.106,0.191,65.952,187027,3
109,0.589,0.623,1,-4.815,1,0.0576,0.692,0.0,0.0757,0.743,128.953,185640,4
110,0.407,0.573,9,-6.769,1,0.0526,0.736,0.0,0.0772,0.652,99.303,163933,4
111,0.662,0.535,10,-5.457,1,0.027,0.563,0.0,0.125,0.83,109.695,141200,4
112,0.667,0.527,0,-7.865,1,0.0417,0.631,0.0261,0.0911,0.807,86.52,104053,4
113,0.518,0.455,8,-12.97,1,0.0351,0.264,4.57e-06,0.13,0.763,159.982,138387,4
114,0.624,0.432,7,-11.132,1,0.0344,0.656,0.0,0.0785,0.935,127.69,138360,4
115,0.652,0.778,2,-7.896,1,0.0419,0.521,0.0,0.0999,0.97,151.658,107027,4
116,0.585,0.0995,10,-19.011,1,0.0335,0.945,3.75e-05,0.0919,0.383,106.022,165667,3
117,0.584,0.489,8,-10.49,1,0.03,0.427,0.0,0.156,0.896,132.891,113107,4
118,0.317,0.161,4,-18.856,1,0.0322,0.808,0.0,0.104,0.287,84.64,188093,5
119,0.602,0.633,9,-9.756,1,0.0314,0.502,0.0,0.0614,0.931,98.995,138547,4
120,0.493,0.244,5,-11.487,1,0.0277,0.707,0.000462,0.121,0.222,87.044,148467,3
121,0.76,0.874,2,-6.54,1,0.0345,0.879,0.00834,0.0318,0.99,126.086,125173,4
122,0.345,0.727,7,-9.711,0,0.0778,0.252,1.7e-06,0.0882,0.509,143.874,160600,4
123,0.159,0.162,1,-12.618,1,0.0358,0.788,5.14e-05,0.135,0.195,89.841,155933,3
124,0.531,0.752,2,-10.194,1,0.026,0.38,0.929,0.302,0.971,86.301,162278,4
125,0.523,0.573,8,-8.85,1,0.0372,0.376,9.31e-05,0.129,0.84,138.508,150760,4
126,0.594,0.533,10,-7.993,0,0.0438,0.153,1.49e-05,0.172,0.729,78.552,137307,4
127,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453,154960,4
128,0.658,0.79,8,-5.278,1,0.0775,0.656,0.0,0.154,0.78,97.366,147667,4
129,0.812,0.307,2,-17.291,1,0.0825,0.751,0.825,0.137,0.923,117.277,125440,4
130,0.789,0.289,2,-15.877,1,0.0375,0.765,0.528,0.302,0.898,123.748,125227,4
131,0.647,0.336,3,-8.517,1,0.0645,0.8,0.0,0.0719,0.905,164.249,121600,4
132,0.588,0.768,8,-6.749,0,0.249,0.587,0.0,0.667,0.961,173.107,117493,4
133,0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,182360,3
134,0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,324133,5
135,0.838,0.616,8,-6.502,1,0.0433,0.575,0.0,0.0785,0.971,131.719,128307,4
136,0.543,0.384,8,-10.406,1,0.0341,0.6,8.49e-06,0.268,0.661,126.264,171253,4
137,0.484,0.662,9,-9.532,1,0.0407,0.714,1.98e-05,0.29,0.844,171.877,186213,4
138,0.654,0.566,8,-8.89,1,0.0421,0.713,0.0,0.268,0.904,142.555,171667,4
139,0.73,0.321,7,-10.799,1,0.0381,0.855,1.6e-05,0.123,0.677,122.5,274823,4
140,0.643,0.343,10,-13.016,1,0.027,0.0525,0.0,0.177,0.909,98.107,165267,4
141,0.463,0.128,10,-17.919,1,0.0348,0.904,4.48e-06,0.0945,0.226,79.952,151173,3
142,0.654,0.492,10,-11.939,1,0.0407,0.585,0.0087,0.11,0.977,169.376,146133,4
143,0.742,0.674,8,-7.648,0,0.0354,0.788,0.0,0.0698,0.964,116.53,136267,4
144,0.61,0.379,2,-9.381,1,0.0278,0.622,0.0,0.144,0.48,97.166,120307,4
145,0.648,0.639,7,-15.287,1,0.0564,0.191,0.000391,0.108,0.953,84.164,135600,4
146,0.564,0.216,9,-17.036,1,0.0315,0.654,0.0,0.0913,0.354,99.183,167907,4
147,0.618,0.467,2,-13.166,1,0.0336,0.56,1.05e-05,0.5,0.904,121.646,145080,4
148,0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,176333,4
149,0.423,0.649,2,-6.886,1,0.0304,0.141,0.766,0.243,0.766,129.95,179827,4
150,0.31,0.279,5,-13.552,1,0.0308,0.815,0.0,0.318,0.377,79.397,256120,3
151,0.385,0.473,9,-7.723,1,0.0299,0.764,4.58e-05,0.284,0.541,128.592,124400,4
152,0.528,0.758,7,-7.929,1,0.0314,0.53,0.0,0.236,0.723,137.139,116663,4
153,0.604,0.709,8,-6.377,1,0.158,0.0987,0.0,0.0551,0.907,167.832,137360,4
154,0.602,0.619,9,-11.751,1,0.0768,0.434,0.0,0.364,0.902,139.6,151387,4
155,0.714,0.517,9,-9.418,1,0.032,0.801,1.07e-06,0.107,0.962,127.221,141027,4
156,0.591,0.632,1,-8.943,1,0.0253,0.531,0.0,0.111,0.874,90.74,160067,4
157,0.515,0.218,5,-10.071,1,0.0287,0.828,0.0,0.302,0.534,102.997,158933,4
158,0.449,0.362,5,-10.38,0,0.0279,0.743,0.0,0.132,0.6,90.822,162160,4
159,0.393,0.605,4,-12.335,1,0.0893,0.173,6.68e-05,0.158,0.746,136.918,121762,4
160,0.616,0.617,9,-11.479,1,0.0405,0.117,0.000128,0.15,0.907,146.902,156773,4
161,0.319,0.322,10,-11.944,1,0.0359,0.94,0.742,0.104,0.275,97.686,176333,4
162,0.334,0.906,9,-3.801,1,0.0469,0.00239,0.874,0.289,0.72,145.105,197277,4
163,0.571,0.618,4,-5.682,1,0.0371,0.18,2.69e-06,0.178,0.852,156.892,155040,4
164,0.425,0.582,7,-5.948,1,0.0292,0.505,4.04e-06,0.168,0.808,135.941,189867,4
165,0.693,0.29,8,-17.501,1,0.0334,0.706,1.49e-05,0.137,0.92,121.795,157173,4
166,0.385,0.605,0,-7.601,1,0.0334,0.125,0.885,0.841,0.56,125.097,123000,4
167,0.422,0.985,10,-8.11,1,0.0538,0.111,0.000111,0.347,0.945,78.752,228800,4
168,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111,158427,4
169,0.474,0.365,0,-5.446,1,0.0306,0.251,2.02e-06,0.186,0.219,113.207,159547,3
170,0.38,0.0993,2,-20.567,1,0.0509,0.914,2.32e-05,0.0605,0.44,174.874,165427,4
171,0.495,0.435,0,-9.99,1,0.0286,0.67,0.00038,0.13,0.71,108.189,169160,4
172,0.481,0.733,5,-7.633,1,0.165,0.575,1.18e-05,0.108,0.874,122.909,140427,4
173,0.6,0.243,4,-17.085,1,0.0366,0.89,0.0022,0.249,0.468,110.535,217400,4
174,0.491,0.801,4,-9.835,1,0.0361,0.27,0.0,0.0665,0.971,160.109,173947,4
175,0.598,0.308,7,-10.648,1,0.0584,0.745,5.04e-06,0.142,0.485,127.141,219693,4
176,0.741,0.365,9,-9.594,1,0.0329,0.812,0.00957,0.144,0.888,107.847,187747,3
177,0.301,0.275,2,-11.768,1,0.0318,0.757,0.000384,0.109,0.228,178.376,160427,1
178,0.658,0.638,2,-8.575,1,0.0336,0.433,0.109,0.67,0.846,121.746,148053,4
179,0.397,0.235,9,-11.182,1,0.0285,0.856,4.82e-05,0.109,0.358,85.334,147827,3
180,0.336,0.645,2,-5.406,1,0.0339,0.417,0.0,0.0862,0.897,201.483,122827,3
181,0.644,0.58,2,-7.744,1,0.0515,0.673,0.0,0.0975,0.788,127.2,141173,4
182,0.497,0.229,10,-15.38,1,0.0323,0.759,0.00326,0.0924,0.168,113.525,274600,3
183,0.566,0.888,3,-4.978,1,0.0337,0.0661,0.000418,0.204,0.81,148.33,122973,4
184,0.578,0.524,5,-12.602,1,0.0454,0.78,0.00868,0.141,0.861,150.361,174195,4
185,0.745,0.612,11,-6.888,1,0.0277,0.298,0.000359,0.123,0.93,120.962,184480,4
186,0.5,0.391,1,-6.451,1,0.0335,0.743,0.0,0.0847,0.539,139.972,139507,4
187,0.558,0.633,7,-3.265,1,0.0329,0.487,0.0,0.129,0.871,72.494,112520,4
188,0.617,0.711,9,-6.433,1,0.0297,0.36,1.59e-06,0.0841,0.963,142.266,114987,4
189,0.638,0.44,0,-10.892,1,0.0348,0.722,0.0,0.515,0.904,125.495,148160,4
190,0.605,0.699,3,-6.875,1,0.0317,0.378,0.0,0.305,0.891,71.38,128907,4
191,0.468,0.933,11,-8.937,0,0.0852,0.623,0.0,0.952,0.867,85.505,179400,4
192,0.56,0.652,10,-9.809,1,0.0538,0.589,0.00171,0.249,0.947,134.015,167373,4
