,title,artists,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
104,Secreto,Anuel AA,spotify:track:5W83ErFkO3aKAIS1WMi6u0,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4
106,Baila Baila Baila - Remix,Ozuna,spotify:track:7mWFF4gPADjTQjC97CgFVt,0.785,0.572,2,-7.504,1,0.123,0.0598,0.0,0.218,0.49,100.016,235284,4
111,China,Anuel AA,spotify:track:0KkIkfsLEJbrcIhYsCL7L5,0.786,0.808,7,-3.702,1,0.0881,0.0846,0.000289,0.0822,0.608,105.029,301714,4
116,Soltera - Remix,Lunay,spotify:track:4t9a07PAghtQMRAIP9FQ7Z,0.795,0.783,5,-4.271,1,0.0432,0.361,0.0,0.437,0.799,92.01,266087,4
119,Tusa,KAROL G,spotify:track:0dKg2vGC1hFqcK5LGTaKzX,0.799,0.701,2,-3.272,1,0.282,0.309,7.36e-05,0.0514,0.607,100.946,201920,4
121,Otro Trago - Remix,Sech,spotify:track:4bTZeO72FwMa6wKOiqoynL,0.725,0.79,0,-2.331,1,0.197,0.0711,1.14e-06,0.0602,0.763,175.988,287773,4
126,Cuaderno,Dalex,spotify:track:7anSoGdgtmJTAPZBzcPhO6,0.681,0.648,1,-5.021,0,0.38,0.523,0.0,0.104,0.688,172.02,286507,4
133,Que Mas Pues - Remix,Sech,spotify:track:7fODjB7BrQTGqh0hogW6XD,0.647,0.661,11,-5.027,1,0.2,0.121,2.27e-06,0.12,0.811,113.358,305962,5
140,Callaita,Bad Bunny,spotify:track:2TH65lNHgvLxCKXM3apjxI,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4
142,La Playa,Myke Towers,spotify:track:6768f4xbHQBpJo5lvFVNvs,0.796,0.683,10,-2.754,0,0.15,0.108,0.0,0.107,0.353,140.108,207731,4
143,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,spotify:track:6osaMSJh9NguagEDQcZaKx,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,185195,4
146,No Me Conoce - Remix,Jhayco,spotify:track:4R8BJggjosTswLxtkw8V7P,0.806,0.786,10,-3.831,0,0.0741,0.145,0.0,0.0935,0.58,91.973,309120,4
149,Si Se Da - Remix,Myke Towers,spotify:track:6K5BsR04ijf3FHNzjbaagD,0.817,0.672,11,-5.612,0,0.299,0.441,0.0,0.13,0.774,93.999,332240,4
154,Mírame - Remix,Nio Garcia,spotify:track:7meQTf97i7gyAzeHTLIytv,0.739,0.832,1,-3.244,1,0.151,0.119,1.35e-05,0.245,0.776,176.04,377580,4
160,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,spotify:track:1ndyl3wJCFs872XZ3ztPk6,0.743,0.709,3,-3.922,0,0.0879,0.0451,5.18e-06,0.0809,0.831,170.001,258600,4
166,Piensan,Myke Towers,spotify:track:1A9PKAFEHMWgXNLpgf7k4J,0.677,0.722,2,-4.443,0,0.0626,0.538,0.0,0.11,0.786,172.0,173452,4
167,"105 F Remix (feat. Arcangel, Ñengo Flow, Darell, Myke Towers & Brytiago)",KEVVO,spotify:track:73R3WkIr8D4jfvJ1Ti5hty,0.903,0.737,5,-7.442,0,0.161,0.355,1.48e-06,0.284,0.766,100.021,464214,4
175,Bellaquita,Dalex,spotify:track:1tpbAGsGpZee5jDHMcLrUJ,0.584,0.698,8,-3.961,1,0.106,0.09,6.87e-05,0.171,0.765,166.047,204787,4
177,Piropo,Noriel,spotify:track:3ltZpTagx93zE54eTG5NBh,0.866,0.747,9,-5.748,1,0.0725,0.122,0.0217,0.0403,0.772,93.983,220133,4
178,No Vuelvas Más,Darell,spotify:track:0mcBgVRVsvESTkEyVHt7Ue,0.866,0.602,11,-5.236,1,0.0844,0.434,3.06e-05,0.0567,0.836,95.016,239093,4
179,Easy - Remix,Jhayco,spotify:track:1NmQc6rwLv7g0UHL1AFOa9,0.89,0.748,1,-3.844,0,0.0976,0.186,2.07e-06,0.133,0.402,94.06,219867,4
181,Aventura,Lunay,spotify:track:37zdqI4r1gswIzczSBkRon,0.729,0.726,5,-3.208,1,0.0422,0.223,0.0,0.101,0.876,92.025,217130,4
184,La Cama - Remix,Lunay,spotify:track:2tGENA8xef0wABdHvyXwv9,0.737,0.832,2,-2.622,0,0.0798,0.12,0.0,0.255,0.865,173.986,330240,4
189,Reggaetonera,Anuel AA,spotify:track:6yVkakCN460KOVol9ZazjH,0.694,0.796,6,-4.164,1,0.0565,0.48,0.000384,0.108,0.515,93.064,212312,4
190,Por Mi Reggae Muero 2020,Yandel,spotify:track:09yuQ2v1mHGWZVrpQB1Oj4,0.603,0.815,0,-3.572,1,0.0904,0.0361,0.0,0.133,0.79,105.254,214919,4
192,Te Boté - Remix,Nio Garcia,spotify:track:3V8UKqhEK5zBkBb6d6ub8i,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,417920,4
198,X (feat. Maluma & Ozuna) - Remix,Nicky Jam,spotify:track:6JjPBQfI2Y8nIjnm65X6Pw,0.663,0.696,9,-4.957,0,0.103,0.0561,3.77e-05,0.0778,0.738,180.113,235747,4
202,Solita,Ozuna,spotify:track:7rwX0O3RlxqqIjQM8evm5E,0.807,0.633,10,-6.016,0,0.0929,0.0564,0.0,0.107,0.325,138.038,311726,4
208,Síguelo Bailando,Ozuna,spotify:track:5Y9fnynLlIvqtM710MHzfz,0.855,0.664,9,-7.11,0,0.0607,0.165,3.97e-05,0.0937,0.626,98.015,226800,4
209,MIA (feat. Drake),Bad Bunny,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4
211,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,spotify:track:0KoiMHhqKLoL4xM54rcWYY,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,4
215,Con Calma,Daddy Yankee,spotify:track:5w9c2J52mkdntKOmRLeM2m,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,4
217,Asesina - Original mix,Brytiago,spotify:track:6PniMs08lEakpuRp2nsMGv,0.835,0.703,10,-4.177,0,0.231,0.56,0.0,0.144,0.502,94.211,187255,4
220,Zum Zum,Daddy Yankee,spotify:track:7lEhOiFtcLXY4P7cuTKuQ8,0.839,0.832,0,-2.492,1,0.0531,0.0622,4.59e-06,0.282,0.529,92.004,235773,4
223,Criminal,NATTI NATASHA,spotify:track:6Za3190Sbw39BBC77WSS1C,0.814,0.813,2,-3.023,0,0.0561,0.03,9.33e-05,0.255,0.839,79.997,232550,4
225,Madura (feat. Bad Bunny),Cosculluela,spotify:track:0r9d60ZYPAlFHq8qnUtkXN,0.878,0.555,1,-7.639,0,0.202,0.138,1.34e-06,0.151,0.751,88.029,190909,4
227,Mayores,Becky G,spotify:track:2AY1UAimvTqjJC8vDJsOyy,0.745,0.836,5,-4.336,0,0.0444,0.145,0.00314,0.116,0.874,96.993,203187,4
229,Perro Fiel (feat. Nicky Jam),Shakira,spotify:track:70lnL3QaSOIIyMa2X9aVRL,0.75,0.76,1,-4.836,1,0.198,0.187,0.0,0.0548,0.893,183.817,195213,4
231,Me Enamoré,Shakira,spotify:track:4qknM1pQz53QOyfDVTjcM9,0.74,0.879,9,-2.251,0,0.105,0.193,8.25e-05,0.0928,0.948,103.71,226893,4
232,Chantaje (feat. Maluma),Shakira,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195840,4
234,Safari,J Balvin,spotify:track:456xBIOmLRoLzCvCzZrWge,0.689,0.675,0,-4.281,1,0.32,0.531,3.17e-06,0.115,0.604,180.065,205600,4
